VOID ('void') en la línea 1, columna 1
VARIABLE ('main') en la línea 1, columna 6
LPAREN ('(') en la línea 1, columna 10
RPAREN (')') en la línea 1, columna 11
LKEY ('{') en la línea 1, columna 13
VAR_TYPE ('var') en la línea 2, columna 3
VARIABLE ('entrada') en la línea 2, columna 7
ASSIGN ('=') en la línea 2, columna 15
STDIN ('stdin') en la línea 2, columna 17
DOT ('.') en la línea 2, columna 22
READLINESYNC ('readLineSync') en la línea 2, columna 23
LPAREN ('(') en la línea 2, columna 35
RPAREN (')') en la línea 2, columna 36
SEMICOLON (';') en la línea 2, columna 37
INT_TYPE ('int') en la línea 3, columna 3
VARIABLE ('i') en la línea 3, columna 7
ASSIGN ('=') en la línea 3, columna 8
INT ('1') en la línea 3, columna 9
SEMICOLON (';') en la línea 3, columna 10
LIST ('List') en la línea 4, columna 3
LESS_THAN ('<') en la línea 4, columna 7
INT_TYPE ('int') en la línea 4, columna 8
GREATER_THAN ('>') en la línea 4, columna 11
VARIABLE ('numeros') en la línea 4, columna 13
ASSIGN ('=') en la línea 4, columna 21
LBRACKETS ('[') en la línea 4, columna 23
INT ('1') en la línea 4, columna 24
COMA (',') en la línea 4, columna 25
INT ('2') en la línea 4, columna 27
COMA (',') en la línea 4, columna 28
INT ('3') en la línea 4, columna 30
COMA (',') en la línea 4, columna 31
INT ('4') en la línea 4, columna 33
RBRACKETS (']') en la línea 4, columna 34
SEMICOLON (';') en la línea 4, columna 35
VAR_TYPE ('var') en la línea 5, columna 3
VARIABLE ('nombres') en la línea 5, columna 7
ASSIGN ('=') en la línea 5, columna 15
LBRACKETS ('[') en la línea 5, columna 17
STRING (''Juan','Ana','Pedro'') en la línea 5, columna 18
RBRACKETS (']') en la línea 5, columna 38
SEMICOLON (';') en la línea 5, columna 39
LIST ('List') en la línea 6, columna 3
LESS_THAN ('<') en la línea 6, columna 7
STRING_TYPE ('String') en la línea 6, columna 8
GREATER_THAN ('>') en la línea 6, columna 14
VARIABLE ('palabras') en la línea 6, columna 16
ASSIGN ('=') en la línea 6, columna 25
LBRACKETS ('[') en la línea 6, columna 27
RBRACKETS (']') en la línea 6, columna 28
SEMICOLON (';') en la línea 6, columna 29
VAR_TYPE ('var') en la línea 7, columna 3
VARIABLE ('nombresVacios') en la línea 7, columna 7
ASSIGN ('=') en la línea 7, columna 21
LBRACKETS ('[') en la línea 7, columna 23
RBRACKETS (']') en la línea 7, columna 24
SEMICOLON (';') en la línea 7, columna 25
VAR_TYPE ('var') en la línea 8, columna 3
VARIABLE ('x') en la línea 8, columna 7
ASSIGN ('=') en la línea 8, columna 9
INT ('1') en la línea 8, columna 11
SEMICOLON (';') en la línea 8, columna 12
INT_TYPE ('int') en la línea 9, columna 3
VARIABLE ('y') en la línea 9, columna 7
ASSIGN ('=') en la línea 9, columna 9
INT ('2') en la línea 9, columna 11
SEMICOLON (';') en la línea 9, columna 12
DOUBLE_TYPE ('double') en la línea 10, columna 3
VARIABLE ('z') en la línea 10, columna 10
ASSIGN ('=') en la línea 10, columna 12
DOUBLE ('3.14') en la línea 10, columna 14
SEMICOLON (';') en la línea 10, columna 18
RKEY ('}') en la línea 12, columna 1
